,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02
2014-09-01_2014-09-30,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2014-10-01_2014-10-31,,1,0.07692307692,,0.1538461538,0.07692307692,,0.07692307692,,,,,,,,,,,,,,,,,,,,,,
2014-11-01_2014-11-30,,,1,0.09090909091,,,,,0.09090909091,,,,,,,,,,,,,,,,,,,,,
2014-12-01_2014-12-31,,,,1,0.05882352941,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01_2015-01-31,,,,,1,0.1428571429,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01_2015-02-28,,,,,,1,,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.07692307692,,0.07692307692,,,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.07692307692,
2015-03-01_2015-03-31,,,,,,,1,0.07692307692,,0.07692307692,0.07692307692,,,,,,,,,,,,,,,,,,,
2015-04-01_2015-04-30,,,,,,,,1,0.008,0.008,0.016,0.008,,0.008,,,0.016,,,,,,,,,,,,,
2015-05-01_2015-05-31,,,,,,,,,1,0.125,,,0.04166666667,,,,,,,,,,,,,,,,,
2015-06-01_2015-06-30,,,,,,,,,,1,0.08695652174,,0.08695652174,0.04347826087,,,0.04347826087,,0.04347826087,0.04347826087,0.04347826087,0.04347826087,0.08695652174,0.04347826087,0.04347826087,0.04347826087,0.04347826087,0.04347826087,,
2015-07-01_2015-07-31,,,,,,,,,,,1,0.1428571429,,,,,,,,,,,,,,,,,,
2015-08-01_2015-08-31,,,,,,,,,,,,1,0.1428571429,,,,,,,,,,,,,,,,,
2015-09-01_2015-09-30,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2015-10-01_2015-10-31,,,,,,,,,,,,,,1,0.1666666667,,,0.1666666667,,0.1666666667,,,,,,,,,,
2015-11-01_2015-11-30,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2015-12-01_2015-12-31,,,,,,,,,,,,,,,,1
2016-01-01_2016-01-31,,,,,,,,,,,,,,,,,1,0.4,0.4,,0.4,0.2,0.2,0.2,,,,0.2
2016-02-01_2016-02-29,,,,,,,,,,,,,,,,,,1,,,,,0.07692307692,0.07692307692
2016-03-01_2016-03-31,,,,,,,,,,,,,,,,,,,1,0.1875,,0.0625
2016-04-01_2016-04-30,,,,,,,,,,,,,,,,,,,,1,0.125
2016-05-01_2016-05-31,,,,,,,,,,,,,,,,,,,,,1,0.2222222222,0.1111111111,0.1111111111
2016-06-01_2016-06-30,,,,,,,,,,,,,,,,,,,,,,1,0.06666666667,0.1333333333,0.06666666667
2016-07-01_2016-07-31,,,,,,,,,,,,,,,,,,,,,,,1,0.07142857143,0.07142857143,0.07142857143,,0.07142857143
2016-08-01_2016-08-31,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2016-09-01_2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2016-10-01_2016-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.125,0.0625,0.0625
2016-11-01_2016-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05,0.05,0.05
2016-12-01_2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.04761904762
2017-01-01_2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017-02-01_2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
